method,true_class,predicted_class,count
source_only,dog,dog,610
source_only,dog,elephant,27
source_only,dog,giraffe,11
source_only,dog,guitar,0
source_only,dog,horse,123
source_only,dog,house,0
source_only,dog,person,1
source_only,elephant,dog,442
source_only,elephant,elephant,96
source_only,elephant,giraffe,5
source_only,elephant,guitar,0
source_only,elephant,horse,197
source_only,elephant,house,0
source_only,elephant,person,0
source_only,giraffe,dog,213
source_only,giraffe,elephant,6
source_only,giraffe,giraffe,430
source_only,giraffe,guitar,2
source_only,giraffe,horse,100
source_only,giraffe,house,2
source_only,giraffe,person,0
source_only,guitar,dog,27
source_only,guitar,elephant,24
source_only,guitar,giraffe,251
source_only,guitar,guitar,305
source_only,guitar,horse,1
source_only,guitar,house,0
source_only,guitar,person,0
source_only,horse,dog,328
source_only,horse,elephant,4
source_only,horse,giraffe,16
source_only,horse,guitar,1
source_only,horse,horse,463
source_only,horse,house,4
source_only,horse,person,0
source_only,house,dog,3
source_only,house,elephant,6
source_only,house,giraffe,2
source_only,house,guitar,0
source_only,house,horse,0
source_only,house,house,68
source_only,house,person,1
source_only,person,dog,78
source_only,person,elephant,4
source_only,person,giraffe,45
source_only,person,guitar,0
source_only,person,horse,8
source_only,person,house,0
source_only,person,person,25
dan,dog,dog,369
dan,dog,elephant,46
dan,dog,giraffe,32
dan,dog,guitar,0
dan,dog,horse,31
dan,dog,house,56
dan,dog,person,238
dan,elephant,dog,26
dan,elephant,elephant,583
dan,elephant,giraffe,1
dan,elephant,guitar,0
dan,elephant,horse,4
dan,elephant,house,74
dan,elephant,person,52
dan,giraffe,dog,40
dan,giraffe,elephant,11
dan,giraffe,giraffe,555
dan,giraffe,guitar,2
dan,giraffe,horse,22
dan,giraffe,house,55
dan,giraffe,person,68
dan,guitar,dog,1
dan,guitar,elephant,1
dan,guitar,giraffe,24
dan,guitar,guitar,519
dan,guitar,horse,0
dan,guitar,house,21
dan,guitar,person,42
dan,horse,dog,103
dan,horse,elephant,30
dan,horse,giraffe,59
dan,horse,guitar,4
dan,horse,horse,486
dan,horse,house,81
dan,horse,person,53
dan,house,dog,0
dan,house,elephant,0
dan,house,giraffe,0
dan,house,guitar,0
dan,house,horse,0
dan,house,house,80
dan,house,person,0
dan,person,dog,0
dan,person,elephant,0
dan,person,giraffe,0
dan,person,guitar,0
dan,person,horse,0
dan,person,house,34
dan,person,person,126
dann,dog,dog,0
dann,dog,elephant,544
dann,dog,giraffe,82
dann,dog,guitar,46
dann,dog,horse,64
dann,dog,house,0
dann,dog,person,36
dann,elephant,dog,0
dann,elephant,elephant,631
dann,elephant,giraffe,60
dann,elephant,guitar,20
dann,elephant,horse,11
dann,elephant,house,2
dann,elephant,person,16
dann,giraffe,dog,0
dann,giraffe,elephant,368
dann,giraffe,giraffe,230
dann,giraffe,guitar,26
dann,giraffe,horse,96
dann,giraffe,house,0
dann,giraffe,person,33
dann,guitar,dog,0
dann,guitar,elephant,89
dann,guitar,giraffe,349
dann,guitar,guitar,77
dann,guitar,horse,91
dann,guitar,house,0
dann,guitar,person,2
dann,horse,dog,0
dann,horse,elephant,544
dann,horse,giraffe,88
dann,horse,guitar,32
dann,horse,horse,100
dann,horse,house,1
dann,horse,person,51
dann,house,dog,0
dann,house,elephant,48
dann,house,giraffe,14
dann,house,guitar,5
dann,house,horse,0
dann,house,house,11
dann,house,person,2
dann,person,dog,0
dann,person,elephant,47
dann,person,giraffe,85
dann,person,guitar,17
dann,person,horse,11
dann,person,house,0
dann,person,person,0
cdan,dog,dog,99
cdan,dog,elephant,0
cdan,dog,giraffe,669
cdan,dog,guitar,0
cdan,dog,horse,0
cdan,dog,house,0
cdan,dog,person,4
cdan,elephant,dog,92
cdan,elephant,elephant,0
cdan,elephant,giraffe,648
cdan,elephant,guitar,0
cdan,elephant,horse,0
cdan,elephant,house,0
cdan,elephant,person,0
cdan,giraffe,dog,44
cdan,giraffe,elephant,0
cdan,giraffe,giraffe,704
cdan,giraffe,guitar,0
cdan,giraffe,horse,0
cdan,giraffe,house,0
cdan,giraffe,person,5
cdan,guitar,dog,6
cdan,guitar,elephant,0
cdan,guitar,giraffe,602
cdan,guitar,guitar,0
cdan,guitar,horse,0
cdan,guitar,house,0
cdan,guitar,person,0
cdan,horse,dog,45
cdan,horse,elephant,0
cdan,horse,giraffe,767
cdan,horse,guitar,0
cdan,horse,horse,0
cdan,horse,house,0
cdan,horse,person,4
cdan,house,dog,7
cdan,house,elephant,0
cdan,house,giraffe,73
cdan,house,guitar,0
cdan,house,horse,0
cdan,house,house,0
cdan,house,person,0
cdan,person,dog,14
cdan,person,elephant,0
cdan,person,giraffe,146
cdan,person,guitar,0
cdan,person,horse,0
cdan,person,house,0
cdan,person,person,0
