method,class,accuracy,change_vs_source_only
source_only,dog,0.7901554404145078,0.0
source_only,elephant,0.12972972972972974,0.0
source_only,giraffe,0.5710491367861886,0.0
source_only,guitar,0.5016447368421053,0.0
source_only,horse,0.5674019607843137,0.0
source_only,house,0.85,0.0
source_only,person,0.15625,0.0
dan,dog,0.47797927461139894,-0.31217616580310886
dan,elephant,0.7878378378378378,0.658108108108108
dan,giraffe,0.7370517928286853,0.16600265604249664
dan,guitar,0.8536184210526315,0.3519736842105262
dan,horse,0.5955882352941176,0.028186274509803932
dan,house,1.0,0.15000000000000002
dan,person,0.7875,0.63125
dann,dog,0.0,-0.7901554404145078
dann,elephant,0.8527027027027027,0.7229729729729729
dann,giraffe,0.3054448871181939,-0.26560424966799473
dann,guitar,0.12664473684210525,-0.37500000000000006
dann,horse,0.12254901960784313,-0.44485294117647056
dann,house,0.1375,-0.7124999999999999
dann,person,0.0,-0.15625
cdan,dog,0.12823834196891193,-0.6619170984455959
cdan,elephant,0.0,-0.12972972972972974
cdan,giraffe,0.9349269588313412,0.3638778220451526
cdan,guitar,0.0,-0.5016447368421053
cdan,horse,0.0,-0.5674019607843137
cdan,house,0.0,-0.85
cdan,person,0.0,-0.15625
