method,true_class,predicted_class,count
erm,dog,dog,610
erm,dog,elephant,27
erm,dog,giraffe,11
erm,dog,guitar,0
erm,dog,horse,123
erm,dog,house,0
erm,dog,person,1
erm,elephant,dog,442
erm,elephant,elephant,96
erm,elephant,giraffe,5
erm,elephant,guitar,0
erm,elephant,horse,197
erm,elephant,house,0
erm,elephant,person,0
erm,giraffe,dog,213
erm,giraffe,elephant,6
erm,giraffe,giraffe,430
erm,giraffe,guitar,2
erm,giraffe,horse,100
erm,giraffe,house,2
erm,giraffe,person,0
erm,guitar,dog,27
erm,guitar,elephant,24
erm,guitar,giraffe,251
erm,guitar,guitar,305
erm,guitar,horse,1
erm,guitar,house,0
erm,guitar,person,0
erm,horse,dog,328
erm,horse,elephant,4
erm,horse,giraffe,16
erm,horse,guitar,1
erm,horse,horse,463
erm,horse,house,4
erm,horse,person,0
erm,house,dog,3
erm,house,elephant,6
erm,house,giraffe,2
erm,house,guitar,0
erm,house,horse,0
erm,house,house,68
erm,house,person,1
erm,person,dog,78
erm,person,elephant,4
erm,person,giraffe,45
erm,person,guitar,0
erm,person,horse,8
erm,person,house,0
erm,person,person,25
dan_dg,dog,dog,0
dan_dg,dog,elephant,0
dan_dg,dog,giraffe,0
dan_dg,dog,guitar,0
dan_dg,dog,horse,0
dan_dg,dog,house,0
dan_dg,dog,person,772
dan_dg,elephant,dog,0
dan_dg,elephant,elephant,0
dan_dg,elephant,giraffe,0
dan_dg,elephant,guitar,0
dan_dg,elephant,horse,0
dan_dg,elephant,house,0
dan_dg,elephant,person,740
dan_dg,giraffe,dog,0
dan_dg,giraffe,elephant,0
dan_dg,giraffe,giraffe,0
dan_dg,giraffe,guitar,0
dan_dg,giraffe,horse,0
dan_dg,giraffe,house,0
dan_dg,giraffe,person,753
dan_dg,guitar,dog,0
dan_dg,guitar,elephant,0
dan_dg,guitar,giraffe,0
dan_dg,guitar,guitar,0
dan_dg,guitar,horse,0
dan_dg,guitar,house,0
dan_dg,guitar,person,608
dan_dg,horse,dog,0
dan_dg,horse,elephant,0
dan_dg,horse,giraffe,0
dan_dg,horse,guitar,0
dan_dg,horse,horse,0
dan_dg,horse,house,0
dan_dg,horse,person,816
dan_dg,house,dog,0
dan_dg,house,elephant,0
dan_dg,house,giraffe,0
dan_dg,house,guitar,0
dan_dg,house,horse,0
dan_dg,house,house,0
dan_dg,house,person,80
dan_dg,person,dog,0
dan_dg,person,elephant,0
dan_dg,person,giraffe,0
dan_dg,person,guitar,0
dan_dg,person,horse,0
dan_dg,person,house,0
dan_dg,person,person,160
sam,dog,dog,534
sam,dog,elephant,122
sam,dog,giraffe,6
sam,dog,guitar,0
sam,dog,horse,95
sam,dog,house,2
sam,dog,person,13
sam,elephant,dog,77
sam,elephant,elephant,647
sam,elephant,giraffe,0
sam,elephant,guitar,0
sam,elephant,horse,11
sam,elephant,house,0
sam,elephant,person,5
sam,giraffe,dog,130
sam,giraffe,elephant,51
sam,giraffe,giraffe,438
sam,giraffe,guitar,1
sam,giraffe,horse,126
sam,giraffe,house,1
sam,giraffe,person,6
sam,guitar,dog,4
sam,guitar,elephant,41
sam,guitar,giraffe,2
sam,guitar,guitar,560
sam,guitar,horse,0
sam,guitar,house,0
sam,guitar,person,1
sam,horse,dog,130
sam,horse,elephant,58
sam,horse,giraffe,4
sam,horse,guitar,0
sam,horse,horse,618
sam,horse,house,3
sam,horse,person,3
sam,house,dog,0
sam,house,elephant,1
sam,house,giraffe,0
sam,house,guitar,0
sam,house,horse,0
sam,house,house,79
sam,house,person,0
sam,person,dog,19
sam,person,elephant,16
sam,person,giraffe,10
sam,person,guitar,0
sam,person,horse,2
sam,person,house,0
sam,person,person,113
