method,class,accuracy,change_vs_erm
erm,dog,0.7901554404145078,0.0
erm,elephant,0.12972972972972974,0.0
erm,giraffe,0.5710491367861886,0.0
erm,guitar,0.5016447368421053,0.0
erm,horse,0.5674019607843137,0.0
erm,house,0.85,0.0
erm,person,0.15625,0.0
dan_dg,dog,0.0,-0.7901554404145078
dan_dg,elephant,0.0,-0.12972972972972974
dan_dg,giraffe,0.0,-0.5710491367861886
dan_dg,guitar,0.0,-0.5016447368421053
dan_dg,horse,0.0,-0.5674019607843137
dan_dg,house,0.0,-0.85
dan_dg,person,1.0,0.84375
sam,dog,0.6917098445595855,-0.0984455958549223
sam,elephant,0.8743243243243243,0.7445945945945945
sam,giraffe,0.5816733067729084,0.010624169986719778
sam,guitar,0.9210526315789473,0.41940789473684204
sam,horse,0.7573529411764706,0.18995098039215685
sam,house,0.9875,0.13750000000000007
sam,person,0.70625,0.55
