model,comparison,score,auroc,threshold,known_test_acceptance,unknown_rejection,fpr_at_95tpr,closed_set_accuracy
vanilla,near,msp,0.822786625,0.16736909747123718,0.9451000094413757,0.3199999928474426,0.6800000071525574,
vanilla,far,msp,0.8943218125000001,0.16736909747123718,0.9451000094413757,0.42375001311302185,0.5762500166893005,
vanilla,all,msp,0.85855421875,0.16736909747123718,0.9451000094413757,0.37187498807907104,0.628125011920929,
vanilla,near,mls,0.8062426874999999,-5.669717311859131,0.9501000046730042,0.32624998688697815,0.6737499833106995,
vanilla,far,mls,0.896360375,-5.669717311859131,0.9501000046730042,0.5199999809265137,0.47999998927116394,
vanilla,all,mls,0.8513015312500001,-5.669717311859131,0.9501000046730042,0.4231249988079071,0.5768749713897705,
vanilla,near,energy,0.8061439375000001,-5.890407562255859,0.9505000114440918,0.33250001072883606,0.6675000190734863,
vanilla,far,energy,0.897358875,-5.890407562255859,0.9505000114440918,0.5350000262260437,0.4650000035762787,
vanilla,all,energy,0.8517514062499999,-5.890407562255859,0.9505000114440918,0.4337500035762787,0.5662500262260437,
vanilla,near,mahalanobis,0.796554375,2841.914306640625,0.9477999806404114,0.3075000047683716,0.6924999952316284,
vanilla,far,mahalanobis,0.9132811249999997,2841.914306640625,0.9477999806404114,0.49125000834465027,0.5087500214576721,
vanilla,all,mahalanobis,0.85491775,2841.914306640625,0.9477999806404114,0.39937499165534973,0.6006249785423279,
vanilla,near,mls,0.8062426874999999,-5.669717311859131,0.9501000046730042,0.32624998688697815,0.6737499833106995,0.9489
vanilla,far,mls,0.896360375,-5.669717311859131,0.9501000046730042,0.5199999809265137,0.47999998927116394,0.9489
vanilla,all,mls,0.8513015312500001,-5.669717311859131,0.9501000046730042,0.4231249988079071,0.5768749713897705,0.9489
gcsc,near,mls,0.8103394374999999,-6.301197052001953,0.9441999793052673,0.36625000834465027,0.6337500214576721,0.9506
gcsc,far,mls,0.9006428750000001,-6.301197052001953,0.9441999793052673,0.6162499785423279,0.38374999165534973,0.9506
gcsc,all,mls,0.8554911562499999,-6.301197052001953,0.9441999793052673,0.49125000834465027,0.5087500214576721,0.9506
proser,near,mls,0.79378675,-3.544990062713623,0.9484000205993652,0.3187499940395355,0.6812499761581421,0.9439
proser,far,mls,0.8677998125000002,-3.544990062713623,0.9484000205993652,0.4387499988079071,0.5612499713897705,0.9439
proser,all,mls,0.8307932812500001,-3.544990062713623,0.9484000205993652,0.3787499964237213,0.6212499737739563,0.9439
proser,near,placeholder,0.7789619375000001,0.7904207110404968,0.9516000151634216,0.26499998569488525,0.7350000143051147,0.9439
proser,far,placeholder,0.8818046875000001,0.7904207110404968,0.9516000151634216,0.4437499940395355,0.5562499761581421,0.9439
proser,all,placeholder,0.8303833125,0.7904207110404968,0.9516000151634216,0.3543750047683716,0.6456249952316284,0.9439
